The Harmonics,TheHarmonics@gmail.com,lesHarmonies,France,Paris,2023-02-15
Echoes of Sound,EchoesOfSound@outlook.com,echoespassecur,France,Marseille,2023-03-10
Midnight Rhythms,MidnightRhythms@outlook.fr,midnight,Etats-Unis,New York,2023-01-20
Sahara Groove,SAharaGroove@free.fr,sahar,Sénégal,Dakar,2023-04-05
Crimson Beats,CrimsonBeats@laposte.fr,crimson,Algérie,Alger,2023-02-02
Melodic Waves,MelodicWaves@gmail.com,Melodic,Tunisie,Tunis,2023-03-25
Lunar Symphony,LunarSymphony@outlook.com,Lunaire,Royaume-Uni,Londres,2023-01-15
Mystic Echo,MysticEcho@outlook.fr,1234,Chine,Pékin,2023-03-01
Alpine Melodies,AlpineMelodies@free.fr,LesAlpes,Suisse,Berne,2023-04-10
Northern Lights,NorthernLights@laposte.fr,LUMIEREDUNORD,Belgique,Bruxelles,2023-02-28
Blackpink,Blackpink@gmail.com,ygEntertainment,Seoul,Corée du Sud,2023-01-01
